data;
param MaxPartitionTraffic := 97123;
param N := 16; #default value should be the number of nodes

# nb of edges120

param Traffic :=
1 2  19.000000
2 1 19.000000
1 3  5.000000
3 1 5.000000
1 4  56.000000
4 1 56.000000
1 5  22.000000
5 1 22.000000
1 6  758.000000
6 1 758.000000
1 7  230.000000
7 1 230.000000
1 8  213.000000
8 1 213.000000
1 9  37.000000
9 1 37.000000
1 10  57.000000
10 1 57.000000
1 11  234.000000
11 1 234.000000
1 12  109.000000
12 1 109.000000
1 13  215.000000
13 1 215.000000
1 14  76.000000
14 1 76.000000
1 15  42.000000
15 1 42.000000
1 16  25.000000
16 1 25.000000
2 3  7.000000
3 2 7.000000
2 4  8.000000
4 2 8.000000
2 5  8.000000
5 2 8.000000
2 6  28.000000
6 2 28.000000
2 7  212.000000
7 2 212.000000
2 8  147.000000
8 2 147.000000
2 9  7470.000000
9 2 7470.000000
2 10  14.000000
10 2 14.000000
2 11  111.000000
11 2 111.000000
2 12  219.000000
12 2 219.000000
2 13  1020.000000
13 2 1020.000000
2 14  6030.000000
14 2 6030.000000
2 15  33.000000
15 2 33.000000
2 16  63.000000
16 2 63.000000
3 4  16.000000
4 3 16.000000
3 5  18.000000
5 3 18.000000
3 6  16.000000
6 3 16.000000
3 7  160.000000
7 3 160.000000
3 8  276.000000
8 3 276.000000
3 9  460.000000
9 3 460.000000
3 10  239.000000
10 3 239.000000
3 11  50.000000
11 3 50.000000
3 12  63.000000
12 3 63.000000
3 13  1216.000000
13 3 1216.000000
3 14  408.000000
14 3 408.000000
3 15  209.000000
15 3 209.000000
3 16  660.000000
16 3 660.000000
4 5  25.000000
5 4 25.000000
4 6  30.000000
6 4 30.000000
4 7  97.000000
7 4 97.000000
4 8  421.000000
8 4 421.000000
4 9  1264.000000
9 4 1264.000000
4 10  376.000000
10 4 376.000000
4 11  5335.000000
11 4 5335.000000
4 12  393.000000
12 4 393.000000
4 13  497.000000
13 4 497.000000
4 14  966.000000
14 4 966.000000
4 15  765.000000
15 4 765.000000
4 16  886.000000
16 4 886.000000
5 6  102.000000
6 5 102.000000
5 7  132.000000
7 5 132.000000
5 8  226.000000
8 5 226.000000
5 9  1154.000000
9 5 1154.000000
5 10  10443.000000
10 5 10443.000000
5 11  8142.000000
11 5 8142.000000
5 12  2880.000000
12 5 2880.000000
5 13  354.000000
13 5 354.000000
5 14  1429.000000
14 5 1429.000000
5 15  3691.000000
15 5 3691.000000
5 16  17194.000000
16 5 17194.000000
6 7  100.000000
7 6 100.000000
6 8  153.000000
8 6 153.000000
6 9  116.000000
9 6 116.000000
6 10  20700.000000
10 6 20700.000000
6 11  2261.000000
11 6 2261.000000
6 12  2760.000000
12 6 2760.000000
6 13  5727.000000
13 6 5727.000000
6 14  241.000000
14 6 241.000000
6 15  630.000000
15 6 630.000000
6 16  25185.000000
16 6 25185.000000
7 8  219.000000
8 7 219.000000
7 9  226.000000
9 7 226.000000
7 10  222.000000
10 7 222.000000
7 11  1287.000000
11 7 1287.000000
7 12  3766.000000
12 7 3766.000000
7 13  3272.000000
13 7 3272.000000
7 14  10877.000000
14 7 10877.000000
7 15  396.000000
15 7 396.000000
7 16  3735.000000
16 7 3735.000000
8 9  12.000000
9 8 12.000000
8 10  90.000000
10 8 90.000000
8 11  40.000000
11 8 40.000000
8 12  1575.000000
12 8 1575.000000
8 13  427.000000
13 8 427.000000
8 14  276.000000
14 8 276.000000
8 15  405.000000
15 8 405.000000
8 16  28.000000
16 8 28.000000
9 10  189.000000
10 9 189.000000
9 11  210.000000
11 9 210.000000
9 12  121.000000
12 9 121.000000
9 13  201.000000
13 9 201.000000
9 14  1858.000000
14 9 1858.000000
9 15  1207.000000
15 9 1207.000000
9 16  1162.000000
16 9 1162.000000
10 11  126.000000
11 10 126.000000
10 12  111.000000
12 10 111.000000
10 13  280.000000
13 10 280.000000
10 14  2986.000000
14 10 2986.000000
10 15  11746.000000
15 10 11746.000000
10 16  4029.000000
16 10 4029.000000
11 12  133.000000
12 11 133.000000
11 13  139.000000
13 11 139.000000
11 14  175.000000
14 11 175.000000
11 15  728.000000
15 11 728.000000
11 16  2735.000000
16 11 2735.000000
12 13  861.000000
13 12 861.000000
12 14  354.000000
14 12 354.000000
12 15  3350.000000
15 12 3350.000000
12 16  1370.000000
16 12 1370.000000
13 14  990.000000
14 13 990.000000
13 15  76.000000
15 13 76.000000
13 16  117.000000
16 13 117.000000
14 15  70.000000
15 14 70.000000
14 16  70.000000
16 14 70.000000
15 16  46.000000
16 15 46.000000
;
end;

#valeur optimale : 98200
