data;



param MaxPartitionTraffic := 11000;

param N := 9; #default value should be the number of nodes

param Traffic :=

1 2  19.000000
2 1 19.000000
1 3  5.000000
3 1 5.000000
1 4  56.000000
4 1 56.000000
1 5  22.000000
5 1 22.000000
1 6  758.000000
6 1 758.000000
1 7  230.000000
7 1 230.000000
1 8  213.000000
8 1 213.000000
1 9  37.000000
9 1 37.000000
2 3  7.000000
3 2 7.000000
2 4  8.000000
4 2 8.000000
2 5  8.000000
5 2 8.000000
2 6  28.000000
6 2 28.000000
2 7  212.000000
7 2 212.000000
2 8  147.000000
8 2 147.000000
2 9  7470.000000
9 2 7470.000000
3 4  16.000000
4 3 16.000000
3 5  18.000000
5 3 18.000000
3 6  16.000000
6 3 16.000000
3 7  160.000000
7 3 160.000000
3 8  276.000000
8 3 276.000000
3 9  460.000000
9 3 460.000000
4 5  25.000000
5 4 25.000000
4 6  30.000000
6 4 30.000000
4 7  97.000000
7 4 97.000000
4 8  421.000000
8 4 421.000000
4 9  1264.000000
9 4 1264.000000
5 6  102.000000
6 5 102.000000
5 7  132.000000
7 5 132.000000
5 8  226.000000
8 5 226.000000
5 9  1154.000000
9 5 1154.000000
6 7  100.000000
7 6 100.000000
6 8  153.000000
8 6 153.000000
6 9  116.000000
9 6 116.000000
7 8  219.000000
8 7 219.000000
7 9  226.000000
9 7 226.000000
8 9  12.000000
9 8 12.000000
;

end;

